datetime,parameter,value,unit,location_id,location,latitude,longitude
2026-06-09T14:15:00Z,pm25,26.0,µg/m³,3459,Embassy Kathmandu,27.738703,85.336206
2025-03-24T14:15:00Z,pm25,71.0,µg/m³,3460,Phora Durbar Kathman,27.712464,85.315703
2025-01-13T23:00:00Z,pm10,78.27381006876628,µg/m³,1236017,"Dhathutole, Handigaun",27.727502,85.330135
2026-06-01T04:00:00Z,um003,7646.0,particles/cm³,1236017,"Dhathutole, Handigaun",27.727502,85.330135
2026-06-01T04:00:00Z,pm25,47.7,µg/m³,1236017,"Dhathutole, Handigaun",27.727502,85.330135
2026-06-01T04:00:00Z,temperature,29.2,c,1236017,"Dhathutole, Handigaun",27.727502,85.330135
2026-06-01T04:00:00Z,relativehumidity,42.0,%,1236017,"Dhathutole, Handigaun",27.727502,85.330135
2026-06-01T04:00:00Z,pm1,30.6,µg/m³,1236017,"Dhathutole, Handigaun",27.727502,85.330135
2026-06-09T15:00:00Z,pm1,14.7,µg/m³,2848864,"Dabali, Handigaun",27.68189114,85.28707804
2026-06-09T15:00:00Z,um003,2918.0,particles/cm³,2848864,"Dabali, Handigaun",27.68189114,85.28707804
2025-01-13T23:00:00Z,pm10,87.06706364949544,µg/m³,2848864,"Dabali, Handigaun",27.68189114,85.28707804
2026-06-09T15:00:00Z,relativehumidity,64.0,%,2848864,"Dabali, Handigaun",27.68189114,85.28707804
2026-06-09T15:00:00Z,temperature,21.8,c,2848864,"Dabali, Handigaun",27.68189114,85.28707804
2026-06-09T15:00:00Z,pm25,23.2,µg/m³,2848864,"Dabali, Handigaun",27.68189114,85.28707804
2026-06-09T15:00:00Z,pm1,25.2,µg/m³,5506835,Gaushala Chowk (SC-01) - GD Labs,27.707763,85.343189
2026-06-09T15:00:00Z,pm25,38.7,µg/m³,5506835,Gaushala Chowk (SC-01) - GD Labs,27.707763,85.343189
2026-06-09T15:00:00Z,relativehumidity,52.0,%,5506835,Gaushala Chowk (SC-01) - GD Labs,27.707763,85.343189
2026-06-09T15:00:00Z,temperature,26.9,c,5506835,Gaushala Chowk (SC-01) - GD Labs,27.707763,85.343189
2026-06-09T15:00:00Z,um003,1596.0,particles/cm³,5506835,Gaushala Chowk (SC-01) - GD Labs,27.707763,85.343189
2026-06-09T10:00:00Z,pm1,28.4,µg/m³,5509787,Baluwatar (SC-02) - GD Labs,27.7249438,85.331062
2026-06-09T10:00:00Z,pm25,42.6,µg/m³,5509787,Baluwatar (SC-02) - GD Labs,27.7249438,85.331062
2026-06-09T10:00:00Z,relativehumidity,39.0,%,5509787,Baluwatar (SC-02) - GD Labs,27.7249438,85.331062
2026-06-09T10:00:00Z,temperature,30.2,c,5509787,Baluwatar (SC-02) - GD Labs,27.7249438,85.331062
2026-06-09T10:00:00Z,um003,1824.0,particles/cm³,5509787,Baluwatar (SC-02) - GD Labs,27.7249438,85.331062
2026-06-09T15:00:00Z,pm1,20.2,µg/m³,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
2026-06-09T15:00:00Z,pm25,30.7,µg/m³,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
2026-06-09T15:00:00Z,relativehumidity,57.0,%,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
2026-06-09T15:00:00Z,temperature,24.9,c,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
2026-06-09T15:00:00Z,um003,1125.0,particles/cm³,5509788,Lagankhel (SC - 05) - GD Labs,27.666459,85.323093
2026-06-09T15:00:00Z,pm1,20.3,µg/m³,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
2026-06-09T15:00:00Z,pm25,31.0,µg/m³,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
2026-06-09T15:00:00Z,relativehumidity,55.0,%,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
2026-06-09T15:00:00Z,temperature,25.4,c,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
2026-06-09T15:00:00Z,um003,1077.0,particles/cm³,5518333,Sifal(SC-03)- GD Labs,27.710794,85.340591
2026-06-09T15:00:00Z,pm1,20.5,µg/m³,5519358,Lamtangil (SC-04)- GD Labs,27.731368,85.336783
2026-06-09T15:00:00Z,pm25,31.3,µg/m³,5519358,Lamtangil (SC-04)- GD Labs,27.731368,85.336783
2026-06-09T15:00:00Z,relativehumidity,53.0,%,5519358,Lamtangil (SC-04)- GD Labs,27.731368,85.336783
2026-06-09T15:00:00Z,temperature,26.2,c,5519358,Lamtangil (SC-04)- GD Labs,27.731368,85.336783
2026-06-09T15:00:00Z,um003,1080.0,particles/cm³,5519358,Lamtangil (SC-04)- GD Labs,27.731368,85.336783
2026-01-27T08:00:00Z,pm1,34.93016684850056,µg/m³,5598104,Pulchowk (SC-44) - GD Labs,27.6773887,85.3184176
2026-01-27T08:00:00Z,pm25,58.00833333333333,µg/m³,5598104,Pulchowk (SC-44) - GD Labs,27.6773887,85.3184176
2026-01-27T08:00:00Z,relativehumidity,31.457166703542075,%,5598104,Pulchowk (SC-44) - GD Labs,27.6773887,85.3184176
2026-01-27T08:00:00Z,temperature,23.608499781290693,c,5598104,Pulchowk (SC-44) - GD Labs,27.6773887,85.3184176
2026-01-27T08:00:00Z,um003,2576.8644856770834,particles/cm³,5598104,Pulchowk (SC-44) - GD Labs,27.6773887,85.3184176
2026-05-20T04:00:00Z,pm1,26.8,µg/m³,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-05-20T04:00:00Z,pm25,42.4,µg/m³,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-05-20T04:00:00Z,relativehumidity,77.0,%,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-05-20T04:00:00Z,temperature,25.8,c,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-05-20T04:00:00Z,um003,1678.0,particles/cm³,5633032,Nakhipot (SC-08) - GD Labs,27.6510811,85.3178568
2026-06-09T15:00:00Z,pm1,18.3,µg/m³,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,pm25,29.1,µg/m³,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,relativehumidity,57.0,%,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,temperature,24.2,c,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,um003,1029.0,particles/cm³,5634500,Sunakothi (SC - 06) - GD Labs,27.630412,85.320402
2026-06-09T15:00:00Z,pm1,9.8,µg/m³,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,pm25,21.6,µg/m³,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,relativehumidity,56.0,%,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,temperature,24.7,c,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,um003,746.0,particles/cm³,5676345,Chovar (SC - 07) - GD Labs,27.6662854,85.2937189
2026-06-09T15:00:00Z,pm1,14.3,µg/m³,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,pm25,25.0,µg/m³,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,relativehumidity,48.0,%,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,temperature,28.4,c,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,um003,861.0,particles/cm³,5676826,Taudaha (SC - 09) - GD Labs,27.651121,85.283954
2026-06-09T15:00:00Z,pm1,23.4,µg/m³,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,pm25,34.1,µg/m³,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,relativehumidity,47.0,%,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,temperature,29.2,c,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-06-09T15:00:00Z,um003,1668.0,particles/cm³,5695597,"CEN-SR-25: Patako Chowk, Patan Durbar Square",27.673979,85.325392
2026-05-11T06:00:00Z,pm1,10.8,µg/m³,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,pm25,19.5,µg/m³,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,relativehumidity,50.0,%,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,temperature,26.2,c,5699844,Farsidol Relocated,27.609972,85.296917
2026-05-11T06:00:00Z,um003,797.0,particles/cm³,5699844,Farsidol Relocated,27.609972,85.296917
2026-04-06T10:00:00Z,pm1,1729.3,µg/m³,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,pm25,1734.6,µg/m³,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,relativehumidity,58.0,%,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,temperature,23.1,c,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-04-06T10:00:00Z,um003,8797.0,particles/cm³,5710077,CEN-SR-02: Farsidol Brick Factories,27.6175,85.2961
2026-06-09T08:00:00Z,pm1,26.1,µg/m³,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,pm25,38.9,µg/m³,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,relativehumidity,35.0,%,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,temperature,34.2,c,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T08:00:00Z,um003,1577.0,particles/cm³,6070692,Shantichowk (SC-11) - GD Labs,27.7239866,85.2793095
2026-06-09T15:00:00Z,pm1,13.8,µg/m³,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,pm25,25.3,µg/m³,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,relativehumidity,56.0,%,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,temperature,24.8,c,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-09T15:00:00Z,um003,872.0,particles/cm³,6071242,Gothatar (SC-12) - GD Labs,27.7109112,85.3803717
2026-06-04T15:00:00Z,pm1,36.8,µg/m³,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,pm25,56.0,µg/m³,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,relativehumidity,48.0,%,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,temperature,26.7,c,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
2026-06-04T15:00:00Z,um003,2838.0,particles/cm³,6083043,Gokarneshwor (SC-13) - GD Labs,27.7206848,85.381682
